ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 03:00', 'NL', '').
*** 2020-12-20 22:32:21,509 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 04:00', 'AT', '').
*** 2020-12-20 22:32:21,509 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 04:00', 'BE', '').
*** 2020-12-20 22:32:21,509 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 04:00', 'DE-LU', '').
*** 2020-12-20 22:32:21,509 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 04:00', 'FR', '').
*** 2020-12-20 22:32:21,509 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 04:00', 'NL', '').
*** 2020-12-20 22:32:21,509 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 05:00', 'AT', '').
*** 2020-12-20 22:32:21,509 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 05:00', 'BE', '').
*** 2020-12-20 22:32:21,509 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 05:00', 'DE-LU', '').
*** 2020-12-20 22:32:21,509 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 05:00', 'FR', '').
*** 2020-12-20 22:32:21,510 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 05:00', 'NL', '').
*** 2020-12-20 22:32:21,510 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 06:00', 'AT', '').
*** 2020-12-20 22:32:21,510 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 06:00', 'BE', '').
*** 2020-12-20 22:32:21,510 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 06:00', 'DE-LU', '').
*** 2020-12-20 22:32:21,510 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 06:00', 'FR', '').
*** 2020-12-20 22:32:21,510 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 06:00', 'NL', '').
*** 2020-12-20 22:32:21,510 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 07:00', 'AT', '').
*** 2020-12-20 22:32:21,510 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 07:00', 'BE', '').
*** 2020-12-20 22:32:21,511 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 07:00', 'DE-LU', '').
*** 2020-12-20 22:32:21,511 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 07:00', 'FR', '').
*** 2020-12-20 22:32:21,511 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 07:00', 'NL', '').
*** 2020-12-20 22:32:21,511 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 08:00', 'AT', '').
*** 2020-12-20 22:32:21,511 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 08:00', 'BE', '').
*** 2020-12-20 22:32:21,511 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 08:00', 'DE-LU', '').
*** 2020-12-20 22:32:21,511 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 08:00', 'FR', '').
*** 2020-12-20 22:32:21,511 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 08:00', 'NL', '').
*** 2020-12-20 22:32:21,511 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 09:00', 'AT', '').
*** 2020-12-20 22:32:21,512 - file_operations.py: ***
ERROR: elspot-prices_2019_hourly_eur.xlsx: The price is missing or not valid: ('2019-01-01 09:00', 'BE', '').
